Date,United States,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missour,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming
2004-01-01,1.7,2.5,1.8,1.6,2.3,0.9,2.8,0.9,1.4,2.4,1.7,2.2,1.3,1.4,1.7,2.5,2.4,2.8,2.1,1.3,0.8,1.8,0.7,2.2,1.1,1.4,3.1,1.7,1.5,3.2,0.9,0.7,1.6,1.3,2.5,1.5,2.1,2.7,1.7,1.4,0.6,1.9,1.6,2.4,2.2,1.9,0.8,1.0,1.3,1.5,1.5,1.2
2005-01-01,1.9,2.0,1.5,1.2,2.3,1.2,2.7,1.3,1.7,2.0,2.0,2.7,0.6,1.4,1.9,2.4,2.4,2.7,2.2,1.3,1.4,1.3,1.1,2.7,1.5,1.8,2.6,1.2,1.8,3.0,1.0,1.2,1.5,2.0,2.4,1.3,2.6,2.5,1.6,1.6,1.6,2.1,1.9,1.7,2.6,1.6,0.5,1.3,1.0,1.7,1.6,1.1
2006-01-01,2.4,2.8,1.7,3.0,1.9,1.9,3.0,2.1,2.6,3.7,4.3,3.4,1.0,2.2,2.3,3.2,2.7,2.1,3.4,1.4,1.9,2.1,1.8,3.4,2.0,1.6,2.8,1.9,2.6,3.0,1.4,1.6,1.7,1.8,2.2,1.1,2.7,2.4,1.7,1.6,1.3,2.4,2.0,1.8,2.2,2.1,1.2,1.8,1.3,2.0,1.2,1.4
2007-01-01,2.7,2.9,2.6,3.8,2.2,2.3,3.1,2.3,2.8,3.2,5.1,3.8,1.7,2.9,2.6,3.2,2.9,1.9,2.8,2.5,2.5,2.7,1.7,3.8,2.8,1.5,2.1,1.4,2.5,4.6,1.9,1.6,2.8,2.2,2.4,1.5,3.2,2.4,2.1,2.1,1.5,3.1,1.7,2.1,2.5,2.0,1.0,2.6,1.5,1.5,1.7,1.7
2008-01-01,2.8,3.3,2.0,3.8,2.9,3.1,3.1,2.2,2.4,3.0,4.7,4.3,1.7,3.1,3.2,2.8,2.4,2.0,2.7,1.9,2.3,2.6,1.6,3.7,2.8,2.6,2.6,2.1,2.3,5.3,1.8,1.6,2.0,2.1,3.2,1.3,2.9,2.7,2.0,2.4,2.1,3.1,1.4,3.0,2.3,2.0,1.6,2.6,1.9,2.2,2.1,1.6
2009-01-01,2.6,3.0,1.6,3.4,3.3,2.2,3.0,1.7,2.4,3.3,4.3,3.7,1.9,2.6,2.5,2.5,1.6,2.9,2.6,1.5,2.1,2.4,1.4,3.4,2.3,2.0,2.3,2.8,1.7,4.5,1.8,2.3,1.9,2.4,3.5,1.7,3.2,2.6,3.3,1.6,2.2,3.0,1.4,2.5,1.9,1.9,1.4,2.3,2.6,2.0,2.2,1.9
2010-01-01,2.6,2.9,1.9,3.2,3.1,2.5,2.7,1.7,2.4,2.3,4.5,2.9,1.9,3.3,2.9,3.0,2.0,2.4,2.2,1.5,2.2,2.8,1.2,2.7,2.0,2.3,2.5,1.6,2.5,4.5,1.7,1.6,1.8,2.1,3.4,1.5,3.3,2.0,3.3,1.6,1.8,3.2,1.5,2.6,2.0,2.0,1.9,2.3,2.7,2.1,1.6,2.0
2011-01-01,2.5,2.8,1.3,3.2,3.0,2.1,2.4,2.2,2.7,1.4,3.3,3.6,2.2,3.8,3.4,2.6,2.4,2.1,2.2,1.7,2.2,2.7,1.6,2.4,2.0,1.7,2.2,1.6,2.1,3.6,1.9,2.1,1.4,2.7,2.5,1.5,2.8,2.6,2.1,2.0,2.3,3.3,1.8,2.8,1.8,1.9,1.7,2.2,2.3,2.4,2.1,1.3
2012-01-01,2.0,2.1,1.4,2.4,3.3,1.6,1.7,1.7,2.1,1.9,2.2,2.7,2.3,2.2,2.8,2.1,2.3,2.0,2.0,1.9,1.9,1.9,1.6,1.6,1.7,1.7,2.4,1.6,1.3,3.4,2.0,2.1,2.1,2.0,2.4,1.4,1.7,2.3,2.2,1.7,1.8,2.1,1.0,2.6,2.0,1.5,1.6,1.9,2.0,2.0,1.5,1.4
2013-01-01,2.0,2.0,1.7,2.4,3.0,1.2,1.4,1.8,2.4,1.9,2.4,2.5,1.8,1.6,2.7,2.4,1.8,1.6,2.0,2.3,1.9,1.8,1.7,2.1,1.1,2.3,3.0,1.5,1.4,3.0,2.1,2.2,2.5,1.7,2.6,1.1,1.9,2.3,1.9,1.8,1.3,2.6,1.1,2.0,2.0,1.3,1.7,2.0,1.5,1.8,1.3,1.6
2014-01-01,1.9,2.5,2.2,2.7,3.3,1.1,1.2,1.4,1.8,1.6,2.5,2.8,1.6,2.4,2.3,2.3,2.0,2.2,2.4,2.1,1.8,1.4,1.3,1.5,1.4,2.4,1.9,1.6,1.3,2.6,1.8,1.6,2.1,1.7,2.2,0.9,1.6,1.9,1.8,2.2,1.5,2.7,1.2,2.3,1.5,1.5,1.9,1.7,1.6,2.2,1.7,1.6
2015-01-01,1.8,2.7,1.9,2.1,2.7,1.2,1.1,1.9,1.8,1.6,2.4,2.6,1.5,1.4,2.2,2.1,0.8,1.6,1.9,2.2,2.3,2.0,1.4,1.5,1.0,2.0,2.9,1.7,1.1,2.3,1.8,1.6,2.8,2.0,2.6,1.7,1.8,1.8,1.5,2.2,1.9,2.1,1.1,2.4,1.5,1.1,2.0,1.6,1.2,1.8,1.2,1.3
2016-01-01,1.7,2.5,1.3,1.8,3.4,1.0,1.0,2.1,2.1,1.6,2.2,1.7,1.4,1.7,2.2,1.7,1.1,1.6,1.9,2.1,2.1,2.3,1.2,1.3,0.9,2.2,2.3,2.1,1.1,1.8,1.6,2.2,2.0,2.0,2.1,1.8,1.5,2.0,1.4,1.7,1.1,1.9,0.8,1.7,1.8,0.9,1.6,2.3,1.3,1.6,1.5,2.2
2017-01-01,1.6,2.2,1.4,2.1,2.3,1.0,0.7,1.5,2.4,2.1,2.0,1.4,1.3,1.2,2.0,1.7,2.0,1.7,1.6,1.9,1.2,1.8,1.0,0.9,1.1,2.2,1.6,2.0,1.1,2.5,1.2,1.9,2.6,2.1,1.9,1.7,1.4,2.4,1.1,1.8,0.7,1.9,1.2,1.3,1.6,1.1,1.3,2.0,0.8,1.8,1.1,2.7
2018-01-01,1.5,1.9,1.8,1.9,2.1,1.2,0.9,1.7,1.1,1.2,2.2,1.6,1.7,1.2,1.7,1.3,1.5,1.6,1.3,1.9,1.1,1.4,1.0,1.2,0.4,1.6,1.6,1.4,1.2,1.1,0.9,1.5,2.0,1.7,1.4,2.4,1.1,2.5,1.3,1.6,1.2,1.9,1.3,1.4,1.4,1.0,1.1,1.5,1.1,2.2,1.4,2.6
2019-01-01,1.4,1.9,2.0,1.3,2.0,1.0,0.7,1.2,1.3,1.2,1.8,1.8,1.6,1.2,1.4,1.6,1.0,1.3,1.1,2.0,1.3,1.7,0.9,1.1,0.7,1.4,1.4,1.4,0.9,2.0,0.8,1.4,2.0,1.5,1.3,2.3,1.2,2.4,1.0,1.2,1.2,1.3,0.7,1.6,1.7,0.9,1.3,1.4,0.9,1.6,0.9,1.6
2020-01-01,1.0,1.1,1.9,0.8,1.4,0.7,0.6,0.6,0.9,1.4,1.5,1.0,1.3,0.8,1.3,0.8,0.7,1.2,1.2,1.9,1.2,0.9,0.5,1.1,0.6,1.3,0.9,1.3,0.7,1.1,0.5,1.1,1.3,1.3,0.9,1.3,0.7,1.1,0.9,1.0,1.1,0.8,1.1,0.9,1.1,0.4,0.7,0.6,0.8,1.1,0.5,1.3
2021-01-01,0.9,1.0,1.2,0.8,1.2,0.7,1.2,0.6,0.6,1.5,1.1,1.0,0.7,0.7,1.2,0.9,0.9,0.9,0.9,1.2,0.6,0.8,0.7,0.6,0.7,1.5,0.8,0.8,0.9,0.7,0.6,0.8,0.9,1.3,0.7,1.2,0.6,1.0,0.8,0.5,0.7,0.8,0.8,0.9,1.0,0.6,0.4,0.8,0.7,0.9,0.2,1.2
2022-01-01,0.8,0.7,1.0,1.0,1.5,0.7,0.3,2.1,0.8,1.5,1.3,0.8,1.0,0.6,1.3,0.8,0.6,1.0,0.7,1.1,0.4,0.4,0.6,0.6,0.8,0.6,0.9,0.6,0.7,1.0,0.4,0.6,0.8,1.0,0.7,1.1,0.8,0.8,1.1,0.9,0.6,0.7,0.6,0.7,0.8,0.5,0.7,0.7,0.7,0.8,0.4,0.8
2023-01-01,0.8,0.9,0.7,0.9,1.2,0.7,0.9,0.7,0.4,1.1,1.0,1.1,0.7,0.7,0.6,0.8,0.8,1.1,0.5,1.5,0.7,0.5,0.4,0.7,0.6,0.8,0.8,0.8,0.6,1.0,0.3,0.6,0.9,1.0,0.5,0.7,0.6,1.3,0.8,0.7,0.3,0.6,0.9,0.9,1.3,0.7,0.3,0.6,0.7,0.9,0.5,0.9
